   # (RTNG)                  USERNAME   ( Games :  Score )
------------------------------------------------------------
 116 (2973)                   DrVelja   (   243 :   118.0)
 117 (2973)               CakeinSpace   (  2244 :  1078.0)
 118 (2972)              Heisenberg01   (  5782 :  2994.0)
 119 (2969)                   Creep30   (  1983 :   946.5)
 120 (2968)              kubalibre420   (   821 :   416.5)
 121 (2968)                   BMWHero   (  1359 :   665.0)
 122 (2966)       Praggnanandhaachess   (   834 :   372.5)
 123 (2965)                      gsvc   (   804 :   395.0)
 124 (2963)                hitter1999   (  1038 :   481.0)
 125 (2963)              MeneerMandje   (  2987 :  1271.0)
 126 (2963)            Khalilmousavii   (   748 :   350.0)
 127 (2963)              Shant7777777   (  3119 :  1474.5)
 128 (2963)       Harsha_bharathakoti   (   188 :    96.5)
 129 (2963)                  iamstraw   (  1826 :   729.5)
 130 (2961)                      msb2   (  1805 :   849.0)
 131 (2960)                   temp006   (  2374 :  1141.5)
 132 (2960)                  dr_x1qL0   (   171 :    70.0)
 133 (2960)                 MinhJTran   (   788 :   339.5)
 134 (2960)               Gogithewise   (   140 :    70.5)
 135 (2958)              BlueGreensun   (  3341 :  1528.0)
 136 (2958)                dmitrij_IM   (  5050 :  2469.5)
 137 (2957)           Satranc_Youtube   (  4338 :  1865.5)
 138 (2955)               Sigma_Tauri   (  2057 :  1041.5)
 139 (2955)            black_knight22   (   279 :   119.5)
 140 (2954)                  Yarebore   (  1238 :   650.5)
 141 (2953)               HansSchmidt   (   729 :   386.5)
 142 (2953)                greennight   (  2029 :   903.5)
 143 (2952)                Riquelme93   (  1728 :   817.0)
 144 (2952)                  sumsar42   (  2748 :  1266.0)
 145 (2952)                Pon4ik2006   (   412 :   194.0)
 146 (2951)               yavrukurt40   (   779 :   397.0)
 147 (2950)                  dhoine98   (   749 :   387.5)
 148 (2950)                 Macrofago   (  2269 :   959.0)
 149 (2949)               Abdisalimov   (  1533 :   711.5)
 150 (2949)                  Jasugi99   (  2554 :   958.5)
 151 (2949)                    GMadly   (  1890 :   918.5)
 152 (2948)                DrMelekess   (  2404 :  1131.5)
 153 (2947)                 Mapwright   (    91 :    51.0)
 154 (2947)                    dolar9   (  2114 :  1022.0)
 155 (2945)                   AbasovN   (  1339 :   613.0)
 156 (2944)          MasterAssasin123   (  1171 :   584.0)
 157 (2944)              Twelvedigits   (   157 :    75.5)
 158 (2942)                 Chesser22   (   671 :   310.5)
 159 (2938)                 Dr_Martic   (   390 :   173.0)
 160 (2937)               defenceboy1   (   406 :   192.5)
 161 (2936)              rasulovvugar   (  1629 :   727.5)
 162 (2936)                   RD4ever   (   388 :   170.5)
 163 (2936)                shrekdavid   (   926 :   393.5)
 164 (2936)                 ABachmann   (  1700 :   797.0)
 165 (2935)                  Patetico   (   877 :   328.5)
 166 (2934)                   cjota95   (   425 :   192.0)
 167 (2934)        Harikrishnapentala   (   281 :   114.0)
 168 (2932)                  Mitrabha   (  1886 :   867.0)
 169 (2931)                   guirepa   (   187 :    88.0)
 170 (2930)          Mishka_The_Great   (  6775 :  2597.0)
 171 (2930)           BrandonJacobson   (    36 :    15.5)
 172 (2928)                   L04d1ng   (   353 :   155.0)
 173 (2928)                    toivok   (   943 :   334.5)
 174 (2928)                    vroeli   (  2630 :  1245.5)
 175 (2926)             dalmatinac101   (   269 :   128.0)
 176 (2925)                MikeGScarn   (   164 :    82.5)
 177 (2924)                 Jaggust01   (   311 :   147.0)
 178 (2924)            E-Shaposhnikov   (   380 :   172.5)
 179 (2924)                AndrewHoma   (   430 :   180.0)
 180 (2923)                lenochka18   (   572 :   255.5)
 181 (2922)                 Esssquire   (  1155 :   507.5)
 182 (2920)                cicergross   (  2453 :  1024.5)
 183 (2919)                   LouiVos   (   288 :   128.5)
